,Player,W,T,L,Win %,Total
283,Jim Harbaugh,20.0,0.0,44.0,0.3125,64.0
284,Jim Hart,21.0,2.0,54.0,0.2857142857142857,77.0
285,Jim Kelly,41.0,0.0,34.0,0.5466666666666666,75.0
286,Jim LeClair,0.0,0.0,2.0,0.0,2.0
287,Jim McMahon,24.0,0.0,20.0,0.5454545454545454,44.0
288,Jim Miller,5.0,0.0,9.0,0.35714285714285715,14.0
289,Jim Ninowski,0.0,0.0,1.0,0.0,1.0
290,Jim Plunkett,19.0,0.0,44.0,0.30158730158730157,63.0
291,Jim Zorn,15.0,0.0,34.0,0.30612244897959184,49.0
292,Jimmy Clausen,0.0,0.0,10.0,0.0,10.0
293,Jimmy Garoppolo,17.0,0.0,14.0,0.5483870967741935,31.0
294,Joe Burrow,13.0,0.0,15.0,0.4642857142857143,28.0
295,Joe Ferguson,16.0,0.0,58.0,0.21621621621621623,74.0
296,Joe Flacco,29.0,0.0,54.0,0.3493975903614458,83.0
297,Joe Gilliam,0.0,1.0,2.0,0.16666666666666666,3.0
298,Joe Kapp,9.0,2.0,11.0,0.45454545454545453,22.0
299,Joe Montana,43.0,0.0,21.0,0.671875,64.0
300,Joe Namath,9.0,3.0,42.0,0.19444444444444445,54.0
301,Joe Pisarcik,2.0,0.0,11.0,0.15384615384615385,13.0
302,Joe Reed,1.0,0.0,6.0,0.14285714285714285,7.0
303,Joe Theismann,26.0,0.0,27.0,0.49056603773584906,53.0
304,Joe Webb,1.0,0.0,0.0,1.0,1.0
305,Joey Harrington,7.0,0.0,31.0,0.18421052631578946,38.0
306,John Beck,0.0,0.0,2.0,0.0,2.0
307,John Brodie,11.0,3.0,26.0,0.3125,40.0
308,John Elway,46.0,0.0,53.0,0.46464646464646464,99.0
309,John Fourcade,3.0,0.0,1.0,0.75,4.0
310,John Friesz,5.0,0.0,15.0,0.25,20.0
311,John Hadl,19.0,3.0,42.0,0.3203125,64.0
312,John Hufnagel,0.0,0.0,1.0,0.0,1.0
313,John McCormick,0.0,0.0,2.0,0.0,2.0
314,John Reaves,2.0,0.0,7.0,0.2222222222222222,9.0
315,John Skelton,1.0,0.0,7.0,0.125,8.0
316,John Stofa,0.0,0.0,2.0,0.0,2.0
317,John Witkowski,0.0,0.0,1.0,0.0,1.0
318,John Wolford,0.0,0.0,1.0,0.0,1.0
319,Johnny Manziel,0.0,0.0,5.0,0.0,5.0
320,Johnny Unitas,11.0,1.0,13.0,0.46,25.0
321,Jon Kitna,17.0,0.0,35.0,0.3269230769230769,52.0
322,Jonathan Quinn,0.0,0.0,3.0,0.0,3.0
323,Jordan Love,4.0,0.0,4.0,0.5,8.0
324,Josh Allen,23.0,0.0,19.0,0.5476190476190477,42.0
325,Josh Freeman,7.0,0.0,22.0,0.2413793103448276,29.0
326,Josh Johnson,0.0,0.0,5.0,0.0,5.0
327,Josh McCown,7.0,0.0,26.0,0.21212121212121213,33.0
328,Josh Rosen,0.0,0.0,6.0,0.0,6.0
329,Joshua Dobbs,2.0,0.0,7.0,0.2222222222222222,9.0
330,June Jones,1.0,0.0,2.0,0.3333333333333333,3.0
331,Justin Fields,3.0,0.0,19.0,0.13636363636363635,22.0
332,Justin Herbert,7.0,0.0,20.0,0.25925925925925924,27.0
333,Karl Sweetan,1.0,0.0,6.0,0.14285714285714285,7.0
334,Kay Stephenson,0.0,0.0,1.0,0.0,1.0
335,Keith Null,0.0,0.0,2.0,0.0,2.0
336,Kellen Clemens,3.0,0.0,11.0,0.21428571428571427,14.0
337,Kellen Moore,0.0,0.0,1.0,0.0,1.0
338,Kelly Holcomb,3.0,0.0,8.0,0.2727272727272727,11.0
339,Kelly Stouffer,1.0,0.0,10.0,0.09090909090909091,11.0
340,Ken Anderson,33.0,0.0,48.0,0.4074074074074074,81.0
341,Ken Dorsey,1.0,0.0,6.0,0.14285714285714285,7.0
342,Ken Karcher,0.0,0.0,1.0,0.0,1.0
343,Ken O'Brien,10.0,0.0,38.0,0.20833333333333334,48.0
344,Ken Stabler,30.0,1.0,32.0,0.48412698412698413,63.0
345,Kenny Pickett,6.0,0.0,9.0,0.4,15.0
346,Kent Graham,4.0,0.0,14.0,0.2222222222222222,18.0
347,Kent Nix,1.0,0.0,8.0,0.1111111111111111,9.0
348,Kerry Collins,24.0,0.0,65.0,0.2696629213483146,89.0
349,Kevin Kolb,3.0,0.0,5.0,0.375,8.0
350,Kevin Sweeney,0.0,0.0,2.0,0.0,2.0
351,Kim McQuilken,0.0,0.0,4.0,0.0,4.0
352,King Hill,0.0,0.0,1.0,0.0,1.0
353,Kirk Cousins,16.0,0.0,46.0,0.25806451612903225,62.0
354,Kordell Stewart,14.0,0.0,19.0,0.42424242424242425,33.0
355,Koy Detmer,1.0,0.0,3.0,0.25,4.0
356,Kurt Kittner,0.0,0.0,1.0,0.0,1.0
357,Kurt Warner,15.0,0.0,26.0,0.36585365853658536,41.0
358,Kyle Allen,3.0,0.0,6.0,0.3333333333333333,9.0
359,Kyle Boller,6.0,0.0,15.0,0.2857142857142857,21.0
360,Kyle Mackey,0.0,0.0,2.0,0.0,2.0
361,Kyle Orton,17.0,0.0,23.0,0.425,40.0
362,Kyler Murray,9.0,0.0,24.0,0.2727272727272727,33.0
363,Lamar Jackson,24.0,0.0,16.0,0.6,40.0
364,Landry Jones,0.0,0.0,2.0,0.0,2.0
365,Larry Cipa,1.0,0.0,0.0,1.0,1.0
366,Larry Rakestraw,0.0,0.0,2.0,0.0,2.0
367,Len Dawson,24.0,4.0,24.0,0.5,52.0
368,Luke Falk,0.0,0.0,2.0,0.0,2.0
369,Luke McCown,1.0,0.0,4.0,0.2,5.0
370,Lynn Dickey,10.0,0.0,31.0,0.24390243902439024,41.0
371,Mac Jones,6.0,0.0,19.0,0.24,25.0
372,Malik Willis,0.0,0.0,1.0,0.0,1.0
373,Marc Bulger,11.0,0.0,34.0,0.24444444444444444,45.0
374,Marc Wilson,10.0,0.0,20.0,0.3333333333333333,30.0
375,Marcus Mariota,14.0,0.0,15.0,0.4827586206896552,29.0
376,Mark Brunell,16.0,0.0,42.0,0.27586206896551724,58.0
377,Mark Herrmann,1.0,0.0,3.0,0.25,4.0
378,Mark Malone,7.0,0.0,20.0,0.25925925925925924,27.0
379,Mark Rypien,16.0,0.0,21.0,0.43243243243243246,37.0
380,Mark Sanchez,8.0,0.0,19.0,0.2962962962962963,27.0
381,Mark Vlasic,1.0,0.0,1.0,0.5,2.0
382,Marlin Briscoe,0.0,0.0,3.0,0.0,3.0
383,Marty Domres,2.0,0.0,13.0,0.13333333333333333,15.0
384,Mason Rudolph,4.0,0.0,3.0,0.5714285714285714,7.0
385,Matt Barkley,0.0,0.0,4.0,0.0,4.0
386,Matt Cassel,8.0,0.0,20.0,0.2857142857142857,28.0
387,Matt Cavanaugh,1.0,0.0,6.0,0.14285714285714285,7.0
388,Matt Flynn,1.0,0.0,1.0,0.5,2.0
389,Matt Hasselbeck,14.0,0.0,43.0,0.24561403508771928,57.0
390,Matt Leinart,3.0,0.0,4.0,0.42857142857142855,7.0
391,Matt Lytle,0.0,0.0,1.0,0.0,1.0
392,Matt Mauck,0.0,0.0,1.0,0.0,1.0
393,Matt McGloin,0.0,0.0,3.0,0.0,3.0
394,Matt Moore,5.0,0.0,11.0,0.3125,16.0
395,Matt Robinson,2.0,0.0,6.0,0.25,8.0
396,Matt Ryan,35.0,0.0,68.0,0.33980582524271846,103.0
397,Matt Schaub,14.0,0.0,30.0,0.3181818181818182,44.0
398,Matt Stevens,0.0,0.0,1.0,0.0,1.0
399,Matthew Stafford,16.0,0.0,80.0,0.16666666666666666,96.0
400,Max Choboian,2.0,0.0,4.0,0.3333333333333333,6.0
401,Max Hall,1.0,0.0,1.0,0.5,2.0
402,Michael Vick,14.0,1.0,30.0,0.32222222222222224,45.0
403,Mike Boryla,1.0,0.0,7.0,0.125,8.0
404,Mike Busch,0.0,0.0,1.0,0.0,1.0
405,Mike Glennon,2.0,0.0,15.0,0.11764705882352941,17.0
406,Mike Hohensee,1.0,0.0,0.0,1.0,1.0
407,Mike Kirkland,0.0,0.0,2.0,0.0,2.0
408,Mike Kruczek,2.0,0.0,0.0,1.0,2.0
409,Mike Livingston,7.0,1.0,33.0,0.18292682926829268,41.0
410,Mike McMahon,0.0,0.0,8.0,0.0,8.0
411,Mike Moroski,0.0,0.0,2.0,0.0,2.0
412,Mike Pagel,1.0,1.0,29.0,0.04838709677419355,31.0
413,Mike Phipps,12.0,1.0,21.0,0.36764705882352944,34.0
414,Mike Rae,0.0,0.0,1.0,0.0,1.0
415,Mike Taliaferro,1.0,0.0,11.0,0.08333333333333333,12.0
416,Mike Tomczak,12.0,0.0,21.0,0.36363636363636365,33.0
417,Mike White,1.0,0.0,5.0,0.16666666666666666,6.0
418,Milt Plum,1.0,1.0,5.0,0.21428571428571427,7.0
419,Mitchell Trubisky,9.0,0.0,16.0,0.36,25.0
420,Moses Moreno,0.0,0.0,1.0,0.0,1.0
421,Nathan Peterman,0.0,0.0,4.0,0.0,4.0
422,Neil Graff,0.0,0.0,2.0,0.0,2.0
423,Neil Lomax,14.0,0.0,32.0,0.30434782608695654,46.0
424,Neil O'Donnell,17.0,0.0,23.0,0.425,40.0
425,Nick Foles,9.0,0.0,19.0,0.32142857142857145,28.0
426,Nick Mullens,2.0,0.0,10.0,0.16666666666666666,12.0
427,Norm Snead,9.0,1.0,37.0,0.20212765957446807,47.0
